word	primary_house	houses	ambiguous	sources
adaptation	3	3	no	writing(H3)
addition	11	11	no	gain(H11)
address	2	2	no	speech(H2)
adhesion contract	7	7	no	contract(H7)
admass	7	7	no	public(H7)
administration	1	1,10	yes	body(H1); government(H10)
admiration	9	9	no	blessing(H9)
admirer	5	5	no	lover(H5)
adobe house	4	4	no	house(H4)
adoption	6	6,9	yes	borrowing(H6); blessing(H9)
adorer	5	5	no	lover(H5)
adoxography	3	3	no	writing(H3)
advance	6	6,8	yes	loan(H6); transformation(H8)
advancement	10	10	no	promotion(H10)
advantage	2	2	no	asset(H2)
adventitious root	4	4	no	roots(H4)
adventure	5	5	no	gambling(H5)
advert	10	10	no	promotion(H10)
advertisement	10	10	no	promotion(H10)
advertising	10	10	no	promotion(H10)
advertizement	10	10	no	promotion(H10)
advertizing	10	10	no	promotion(H10)
adviser	10	10	no	authority(H10)
advisor	10	10	no	authority(H10)
aeroembolism	6	6	no	illness(H6); sickness(H6)
aerogram	3	3	no	letter(H3)
aerogramme	3	3	no	letter(H3)
aerophile	5	5	no	lover(H5)
aesthetics	9	9	no	philosophy(H9)
aether	3	3	no	media(H3)
aetiology	9	9	no	philosophy(H9)
affine transformation	8	8	no	transformation(H8)
affluence	2	2	no	wealth(H2)
aficionado	5	5	no	lover(H5)
age	4	4	no	property(H4)
agerasia	1	1	no	appearance(H1)
aggregation	11	11	no	group(H11)
agon	11	11	no	celebration(H11)
agony	6	6	no	pain(H6)
agreement	7	7	no	agreement(H7)
ague	6	6	no	illness(H6); sickness(H6)
aid	6	6	no	work(H6)
air	3	3	no	media(H3)
air castle	12	12	no	dream(H12)
air embolism	6	6	no	illness(H6); sickness(H6)
air letter	3	3	no	letter(H3)
airmail letter	3	3	no	letter(H3)
airplane mechanics	7	7	no	trade(H7)
airwave	3	3	no	media(H3)
album	3	3	no	media(H3)
alchemist	5	5	no	intellect(H5)
alcohol group	11	11	no	group(H11)
alcohol radical	11	11	no	group(H11)
aldehyde group	11	11	no	group(H11)
aldehyde radical	11	11	no	group(H11)
aleatory contract	7	7	no	contract(H7)
aleph	3	3	no	letter(H3)
aleut	11	11	no	community(H11)
alienation	12	12	no	isolation(H12)
aliment	2	2	no	food(H2)
alimentary paste	2	2	no	food(H2)
alimentation	2	2	no	food(H2)
aliyah	10	10,12	yes	honor(H10); immigration(H12)
alkyl	11	11	no	group(H11)
alkyl group	11	11	no	group(H11)
alkyl radical	11	11	no	group(H11)
all-terrain bike	4	4	no	bike(H4)
allergy diet	2	2	no	diet(H2)
alleviation	4	4	no	comfort(H4)
alliance	7	7	no	treaty(H7)
allocator	10	10	no	authority(H10)
allocution	2	2	no	speech(H2)
alluvial deposit	2	2	no	deposit(H2)
alluvial sediment	2	2	no	deposit(H2)
alluvial soil	4	4	no	soil(H4)
alluviation	2	2	no	deposit(H2)
alluvion	2	2	no	deposit(H2)
alluvium	2	2	no	deposit(H2)
ally	11	11	no	friend(H11)
allyl	11	11	no	group(H11)
allyl group	11	11	no	group(H11)
allyl radical	11	11	no	group(H11)
alms	12	12	no	donation(H12)
alpha	3	3	no	letter(H3)
alphabetic character	3	3	no	letter(H3)
alter ego	11	11	no	friend(H11)
ambiance	10	10	no	status(H10)
ambience	10	10	no	status(H10)
ambition	10	10,11,12	yes	ambition(H10); desire(H11); aspiration(H11); dream(H12)
ambitiousness	10	10	no	ambition(H10)
ambulance	4	4	no	car(H4)
amended return	11	11	no	return(H11)
american dream	10	10,11,12	yes	ambition(H10); aspiration(H11); dream(H12)
american football	5	5	no	football(H5)
american football game	5	5	no	football(H5)
amigo	11	11	no	friend(H11)
amino	11	11	no	group(H11)
amino group	11	11	no	group(H11)
amity	4	4	no	peace(H4)
amoralism	9	9	no	philosophy(H9)
amorist	5	5	no	lover(H5)
amplification	11	11	no	gain(H11)
amusement	5	5	no	entertainment(H5)
amyl	11	11	no	group(H11)
amyloidosis	6	6	no	illness(H6); sickness(H6)
amyotonia	10	10	no	status(H10)
anal personality	1	1	no	personality(H1)
anal retentive personality	1	1	no	personality(H1)
analogy	9	9	no	religion(H9); faith(H9)
analysis	8	8	no	investigation(H8)
analyticity	4	4	no	property(H4)
anatomy	1	1	no	body(H1)
ancestry	8	8	no	inheritance(H8)
anchorage	10	10	no	status(H10)
ancien regime	10	10	no	government(H10)
androglossia	2	2	no	voice(H2)
anima	1	1	no	self(H1); ego(H1)
animal disease	6	6	no	disease(H6)
animalism	9	9	no	philosophy(H9)
animism	9	9	no	philosophy(H9)
anisotropy	4	4	no	property(H4)
anomalist	5	5	no	intellect(H5)
anomalous communication	3	3	no	communication(H3)
anomaly	10	10	no	position(H10)
anomie	12	12	no	isolation(H12)
anomy	12	12	no	isolation(H12)
anthrax	6	6	no	disease(H6)
antiestablishmentarianism	9	9	no	philosophy(H9)
antiestablishmentism	9	9	no	philosophy(H9)
anuresis	6	6	no	illness(H6); sickness(H6)
anuria	6	6	no	illness(H6); sickness(H6)
aphorist	5	5	no	intellect(H5)
apophatism	9	9	no	religion(H9); faith(H9)
apostasy	12	12	no	renunciation(H12)
apparition	1	1	no	appearance(H1)
appearance	1	1	no	appearance(H1)
appearing	1	1	no	appearance(H1)
application	3	3	no	effort(H3)
appointment	6	6,10	yes	job(H6); occupation(H10)
appreciation	9	9	no	blessing(H9)
appropriation	2	2	no	money(H2)
approval	9	9	no	blessing(H9)
approver	10	10	no	authority(H10)
approving	9	9	no	blessing(H9)
aquatics	5	5	no	sport(H5)
arbitrage	5	5	no	investment(H5)
arcanum	8	8	no	secret(H8)
archduchy	4	4	no	land(H4)
archery	5	5	no	sport(H5)
archidiaconate	10	10	no	rank(H10)
architecture	10	10	no	profession(H10)
arm	3	3	no	arm(H3)
armenian church	9	9	no	church(H9)
armistice	4	4	no	peace(H4)
arms deal	7	7	no	deal(H7)
army brat	5	5	no	child(H5)
aroma	4	4	no	property(H4)
arrangement	11	11	no	group(H11)
arrears	6	6	no	debt(H6)
arrival	10	10	no	achievement(H10)
arsenic group	11	11	no	group(H11)
art teacher	9	9	no	teacher(H9)
arthralgia	6	6	no	pain(H6)
articles of agreement	7	7	no	contract(H7)
ascendance	10	10	no	status(H10)
ascendancy	10	10	no	status(H10)
ascendence	10	10	no	status(H10)
ascendency	10	10	no	status(H10)
ascender	3	3	no	letter(H3)
asceticism	9	9	no	philosophy(H9)
ashram	12	12	no	retreat(H12); ashram(H12)
asian shamanism	9	9	no	religion(H9); faith(H9)
aspergillosis	6	6	no	disease(H6)
aspiration	10	10,11,12	yes	ambition(H10); desire(H11); aspiration(H11); dream(H12)
assay	5	5	no	study(H5)
assemblage	11	11	no	group(H11)
asset	2	2	no	asset(H2)
assets	2	2	no	possession(H2)
assignment	6	6	no	duty(H6)
assimilate	5	5	no	learning(H5)
assimilation	5	5	no	education(H5)
assistant foreman	10	10	no	boss(H10)
associate	6	6,11	yes	subordinate(H6); friend(H11)
association	11	11	no	group(H11)
association football	5	5	no	football(H5)
assuagement	4	4	no	comfort(H4)
assurance	8	8	no	insurance(H8)
astigmatism	10	10	no	status(H10)
astigmia	10	10	no	status(H10)
astuteness	5	5,9	yes	intelligence(H5); wisdom(H9)
asylum	12	12	no	hospital(H12)
ataraxis	4	4	no	peace(H4)
athletic game	5	5	no	sport(H5); game(H5)
athletics	5	5	no	sport(H5)
atmosphere	10	10	no	status(H10)
atonement	12	12	no	salvation(H12)
atonia	10	10	no	status(H10)
atonicity	10	10	no	status(H10)
atony	10	10	no	status(H10)
attainment	3	3,10	yes	skill(H3); achievement(H10)
attempt	3	3	no	effort(H3)
attention	6	6	no	work(H6)
auction house	4	4	no	house(H4)
audience	7	7	no	audience(H7)
auditory communication	3	3	no	communication(H3)
authorisation	10	10	no	authority(H10)
authoriser	10	10	no	authority(H10)
authoritarian regime	10	10	no	government(H10)
authoritarian state	10	10	no	government(H10)
authorities	10	10	no	government(H10)
authority	10	10	no	authority(H10)
authority figure	10	10	no	authority(H10)
authorization	10	10	no	authority(H10)
authorized shares	5	5	no	stock(H5)
authorized stock	5	5	no	stock(H5)
authorizer	10	10	no	authority(H10)
authorship	3	3	no	writing(H3)
auto	4	4	no	car(H4)
auto mechanics	7	7	no	trade(H7)
autograph	3	3	no	writing(H3)
autoimmune disease	6	6	no	disease(H6)
autoimmune disorder	6	6	no	disease(H6)
automation	10	10	no	status(H10)
automobile	4	4	no	car(H4)
automobile insurance	8	8	no	insurance(H8)
avocation	3	3,5	yes	hobby(H3); hobby(H5)
award	10	10	no	honor(H10)
axiology	9	9	no	philosophy(H9)
ayin	3	3	no	letter(H3)
azido group	11	11	no	group(H11)
azido radical	11	11	no	group(H11)
azo group	11	11	no	group(H11)
azo radical	11	11	no	group(H11)
baas	10	10	no	boss(H10)
babe	5	5	no	child(H5); baby(H5)
baby	5	5	no	child(H5); baby(H5)
bacchanal	5	5	no	lover(H5)
bacchant	5	5	no	lover(H5)
back	10	10	no	position(H10)
backing	9	9	no	blessing(H9)
backpedal	4	4	no	bike(H4)
backup	9	9	no	blessing(H9)
bad debt	6	6	no	debt(H6)
bad luck	2	2,9	yes	fortune(H2); luck(H9); fortune(H9)
badlands	4	4	no	land(H4); soil(H4)
baggage car	4	4	no	car(H4)
bahai	9	9	no	teacher(H9)
bahaism	9	9	no	religion(H9); faith(H9)
bairn	5	5	no	child(H5); kid(H5)
baked goods	2	2	no	food(H2)
balanced diet	2	2	no	diet(H2)
ball-breaker	6	6	no	job(H6)
ball-buster	6	6	no	job(H6)
ballyhoo	10	10	no	promotion(H10)
bambino	5	5	no	child(H5); kid(H5)
bank	2	2	no	bank(H2)
bank loan	6	6	no	loan(H6)
bank manager	10	10	no	manager(H10)
banking	2	2	no	finance(H2)
banquet	2	2	no	eating(H2)
banqueting	2	2	no	eating(H2)
bar	10	10	no	profession(H10)
bar exam	5	5	no	exam(H5)
bar examination	5	5	no	exam(H5)
bar sinister	10	10	no	status(H10)
bargain	7	7	no	agreement(H7); deal(H7)
bargaining	7	7	no	negotiation(H7)
barkeep	6	6	no	employee(H6)
barkeeper	6	6	no	employee(H6)
barker	6	6	no	dog(H6)
barman	6	6	no	employee(H6)
baronetcy	10	10	no	rank(H10)
barony	4	4,10	yes	land(H4); estate(H4); rank(H10)
barrier	6	6	no	obstacle(H6)
bartender	6	6	no	employee(H6)
base	4	4	no	foundation(H4)
base on balls	10	10	no	achievement(H10)
baseball coach	10	10	no	manager(H10)
baseball manager	10	10	no	manager(H10)
basenji	6	6	no	dog(H6)
basilica	9	9	no	church(H9)
basis	4	4	no	foundation(H4)
basketball coach	10	10	no	manager(H10)
basketball play	5	5	no	play(H5)
basketry	7	7	no	trade(H7)
bastardy	10	10	no	status(H10)
bastardy proceeding	6	6	no	lawsuit(H6)
bastille	12	12	no	jail(H12); prison(H12)
batch	7	7	no	deal(H7)
batting	3	3	no	effort(H3)
battle	3	3	no	effort(H3)
battle-ax	7	7	no	wife(H7)
battle-axe	7	7	no	wife(H7)
beach house	4	4	no	house(H4)
beach waggon	4	4	no	car(H4)
beach wagon	4	4	no	car(H4)
beachhead	10	10	no	achievement(H10)
beau	5	5	no	lover(H5)
beauty	1	1	no	appearance(H1)
beauty sleep	12	12	no	sleep(H12)
becloud	8	8	no	hidden(H8)
bed	4	4	no	foundation(H4)
befog	8	8	no	hidden(H8)
begetter	9	9	no	father(H9)
beginning	1	1,4	yes	beginning(H1); roots(H4)
beguilement	5	5	no	entertainment(H5)
beguine	3	3	no	sister(H3)
bel esprit	5	5	no	intellect(H5)
belgian griffon	6	6	no	dog(H6)
belongings	2	2,4	yes	possession(H2); property(H4)
beloved	5	5	no	lover(H5)
bends	6	6	no	illness(H6); sickness(H6)
benedick	7	7	no	husband(H7)
benedict	7	7	no	husband(H7)
benefaction	12	12	no	donation(H12)
benefit	11	11	no	profit(H11)
bent	3	3	no	talent(H3)
benzoyl group	11	11	no	group(H11)
benzoyl radical	11	11	no	group(H11)
benzyl	11	11	no	group(H11)
benzyl group	11	11	no	group(H11)
benzyl radical	11	11	no	group(H11)
bequest	8	8	no	inheritance(H8); legacy(H8)
berth	6	6,10	yes	job(H6); occupation(H10)
besieger	6	6	no	enemy(H6)
best	3	3	no	effort(H3)
best friend	11	11	no	friend(H11)
bet	5	5	no	gambling(H5)
beta	3	3	no	letter(H3)
beth	3	3	no	letter(H3)
betrothed	5	5	no	lover(H5)
better half	7	7	no	spouse(H7); partner(H7)
betterment	8	8	no	transformation(H8)
beverage	2	2	no	food(H2)
bible	9	9	no	scripture(H9)
bicycle	4	4	no	bike(H4)
bicycle-built-for-two	4	4	no	bike(H4)
bid	3	3	no	effort(H3)
big brother	3	3	no	brother(H3)
big bucks	2	2	no	money(H2)
big money	2	2	no	money(H2)
big sister	3	3	no	sister(H3)
bigamist	7	7	no	spouse(H7); partner(H7)
bigamy	7	7	no	marriage(H7)
bike	4	4	no	bike(H4)
bilateral contract	7	7	no	contract(H7)
billet	6	6,10	yes	job(H6); occupation(H10)
billionth	10	10	no	rank(H10)
binge	2	2	no	eating(H2)
bioethics	9	9	no	ethics(H9)
biological group	11	11	no	group(H11)
bioscope	5	5	no	cinema(H5)
biotic community	11	11	no	group(H11)
bird's eye view	10	10	no	position(H10)
birth	1	1	no	beginning(H1)
birth trauma	6	6	no	injury(H6)
birthplace	4	4	no	roots(H4)
birthright	8	8	no	inheritance(H8)
bit	6	6	no	routine(H6)
bite	2	2,6	yes	eating(H2); injury(H6)
biz	6	6,10	yes	job(H6); occupation(H10)
black and white	3	3	no	communication(H3)
black eye	10	10	no	reputation(H10)
blackwater	6	6	no	disease(H6)
blade	3	3	no	arm(H3)
bland diet	2	2	no	diet(H2)
blast trauma	6	6	no	injury(H6)
bleeding	6	6	no	injury(H6)
blemish	1	1	no	appearance(H1)
blessing	9	9	no	blessing(H9)
blighty wound	6	6	no	injury(H6)
block	8	8	no	hidden(H8)
block capital	3	3	no	letter(H3)
block letter	3	3	no	letter(H3)
blog	3	3	no	blog(H3)
blondness	1	1	no	complexion(H1)
blood brother	3	3,11	yes	brother(H3); friend(H11)
blood brotherhood	11	11	no	friendship(H11)
blood sport	5	5	no	sport(H5)
bloodlust	11	11	no	desire(H11)
blowout	11	11	no	celebration(H11)
blue baby	5	5	no	baby(H5)
blue book	5	5	no	study(H5)
blunt trauma	6	6	no	injury(H6)
blurb	10	10	no	promotion(H10)
boarding house	4	4	no	house(H4)
boardinghouse	4	4	no	house(H4)
boatyard	4	4	no	property(H4)
bod	1	1	no	body(H1)
bodily property	4	4	no	property(H4)
body	1	1,4	yes	body(H1); property(H4)
bog soil	4	4	no	soil(H4)
bole	4	4	no	soil(H4)
bolt	2	2	no	eating(H2)
bolt down	2	2	no	eating(H2)
bonus	11	11	no	bonus(H11)
boodle	2	2	no	money(H2)
book	9	9	no	scripture(H9)
booking	6	6	no	work(H6)
booking clerk	7	7	no	seller(H7)
bookman	5	5	no	intellect(H5)
boon	9	9	no	blessing(H9)
borough english	8	8	no	inheritance(H8)
borrow	6	6	no	borrowing(H6)
borrowing	6	6	no	borrowing(H6)
bosom	8	8	no	hidden(H8); intuition(H8)
boss	10	10	no	boss(H10)
bottom	4	4	no	land(H4); soil(H4)
bottom dog	6	6	no	subordinate(H6)
bottomland	4	4	no	land(H4); soil(H4)
boulder clay	4	4	no	soil(H4)
boutonneuse fever	6	6	no	disease(H6)
bow	3	3	no	arm(H3)
bow and arrow	3	3	no	arm(H3)
bow-wow	6	6	no	dog(H6)
bowdlerisation	3	3	no	writing(H3)
bowdlerization	3	3	no	writing(H3)
bowling	5	5	no	game(H5)
box office	10	10	no	office(H10)
boyfriend	5	5	no	lover(H5)
boyhood	4	4	no	childhood(H4)
bozo	6	6	no	cat(H6)
brahmanism	9	9	no	religion(H9); faith(H9)
brahminism	9	9	no	religion(H9); faith(H9)
brain	5	5	no	intelligence(H5); intellect(H5)
brain damage	6	6	no	injury(H6)
brain death	8	8	no	death(H8)
brainiac	5	5	no	intellect(H5)
brainpower	5	5	no	intelligence(H5)
branch	3	3	no	arm(H3)
brand	3	3	no	arm(H3)
brass	1	1	no	body(H1)
brass family	2	2	no	family(H2)
brass knuckles	3	3	no	arm(H3)
brass knucks	3	3	no	arm(H3)
braveness	3	3	no	courage(H3)
bravery	3	3	no	courage(H3)
bread	2	2	no	money(H2)
breadth	5	5	no	intelligence(H5)
break	6	6,8	yes	injury(H6); accident(H8)
break bread	2	2	no	eating(H2)
breakfast	2	2	no	eating(H2)
breakfast food	2	2	no	food(H2)
briarroot	4	4	no	roots(H4)
bridal	7	7	no	marriage(H7); wedding(H7)
bride-to-be	7	7	no	fiancee(H7)
bridge partner	7	7	no	partner(H7)
brightness	5	5	no	intelligence(H5)
brilliance	5	5	no	intelligence(H5)
broken home	2	2	no	family(H2)
brood	4	4	no	dwelling(H4)
brother	3	3,11	yes	brother(H3); friend(H11)
brotherly love	12	12	no	charity(H12)
browse	2	2	no	eating(H2)
browsing	2	2	no	eating(H2)
bruise	6	6	no	injury(H6)
brunch	2	2	no	eating(H2)
brussels griffon	6	6	no	dog(H6)
brutalisation	10	10	no	status(H10)
brutalization	10	10	no	status(H10)
buck fever	6	6	no	fever(H6)
buddhism	9	9	no	religion(H9); faith(H9)
buddy	3	3,11	yes	brother(H3); friend(H11)
budget items	12	12	no	expense(H12)
buff	5	5	no	lover(H5)
build	1	1	no	body(H1)
buildup	10	10	no	promotion(H10)
bump	6	6	no	injury(H6)
bumper car	4	4	no	vehicle(H4)
bundle	2	2	no	money(H2)
bungalow	4	4	no	house(H4)
bunkmate	11	11	no	friend(H11)
burden of proof	6	6	no	duty(H6)
bureaucracy	10	10	no	government(H10)
burn	6	6	no	pain(H6); injury(H6)
burning	6	6	no	pain(H6)
burnup	12	12	no	expenditure(H12)
bury	8	8	no	hidden(H8)
bus	4	4	no	car(H4)
business	6	6,10	yes	job(H6); occupation(H10)
business community	10	10	no	profession(H10)
business deal	7	7	no	deal(H7)
business expense	12	12	no	expense(H12)
business firm	4	4	no	house(H4)
business interruption insurance	8	8	no	insurance(H8)
business letter	3	3	no	letter(H3)
business life	10	10	no	career(H10); vocation(H10)
business office	10	10	no	office(H10)
businessmen	10	10	no	profession(H10)
buster	5	5	no	child(H5); kid(H5)
busywork	6	6	no	work(H6)
butter	2	2	no	food(H2)
butyl	11	11	no	group(H11)
buyer	7	7	no	client(H7); customer(H7); buyer(H7)
by-line	3	3,5	yes	hobby(H3); hobby(H5)
cab	4	4	no	car(H4)
cabala	8	8	no	secret(H8)
cabalism	9	9	no	philosophy(H9)
cabaret	5	5	no	show(H5)
cabbage	2	2	no	money(H2)
cabbala	8	8	no	secret(H8)
cabbalah	8	8	no	secret(H8)
cabin	4	4	no	house(H4)
cabin car	4	4	no	car(H4)
caboose	4	4	no	car(H4)
cachet	10	10	no	honor(H10)
cacodyl	11	11	no	group(H11)
cacodyl group	11	11	no	group(H11)
cacodyl radical	11	11	no	group(H11)
cacography	3	3	no	hand(H3)
cadaver	1	1	no	body(H1)
caisson disease	6	6	no	illness(H6); sickness(H6)
cakewalk	10	10	no	achievement(H10)
calamus	4	4	no	roots(H4)
calf love	5	5	no	infatuation(H5)
caliche	4	4	no	soil(H4)
call loan	6	6	no	loan(H6)
calligraphy	3	3	no	hand(H3)
calling	6	6,10	yes	job(H6); career(H10); occupation(H10); vocation(H10)
campmate	11	11	no	friend(H11)
caning	6	6	no	work(H6)
canis familiaris	6	6	no	dog(H6)
canon	9	9	no	scripture(H9)
canvass	8	8	no	research(H8)
capital stock	5	5	no	stock(H5)
capitalise	11	11	no	profit(H11)
capitalize	11	11	no	profit(H11)
capitulation	12	12	no	loss(H12)
caprice	11	11	no	desire(H11)
captivity	12	12	no	confinement(H12)
car	4	4	no	car(H4)
car insurance	8	8	no	insurance(H8)
carbo loading	2	2	no	diet(H2)
carbohydrate loading	2	2	no	diet(H2)
carbon dating	5	5	no	dating(H5)
carbonyl group	11	11	no	group(H11)
carboxyl	11	11	no	group(H11)
carboxyl group	11	11	no	group(H11)
carcase	1	1	no	body(H1)
carcass	1	1	no	body(H1)
card game	5	5	no	game(H5)
cards	5	5	no	game(H5)
care	6	6	no	work(H6)
career	6	6,10	yes	job(H6); career(H10); occupation(H10); vocation(H10)
carnival	5	5	no	show(H5)
carpentry	7	7	no	trade(H7)
carriage	4	4	no	car(H4)
carriage dog	6	6	no	dog(H6)
carrion	1	1	no	body(H1)
carrot	4	4	no	roots(H4)
carry-over	5	5	no	learning(H5)
carte blanche	10	10	no	authority(H10)
case	6	6	no	lawsuit(H6)
case study	5	5	no	study(H5)
cash flow	2	2	no	income(H2)
cash in on	11	11	no	profit(H11)
cassava	4	4	no	roots(H4)
cast	1	1	no	appearance(H1)
caste	10	10	no	status(H10)
castle in spain	12	12	no	dream(H12)
casualty	8	8	no	accident(H8)
casuistry	9	9	no	ethics(H9)
casus belli	1	1	no	beginning(H1)
cat	6	6	no	cat(H6)
cat scratch disease	6	6	no	disease(H6)
catalan	5	5	no	romance(H5)
cataloged procedure	6	6	no	routine(H6)
cataphatism	9	9	no	religion(H9); faith(H9)
catastrophic illness	6	6	no	illness(H6); sickness(H6)
catch up	5	5	no	learning(H5)
catechist	9	9	no	teacher(H9)
category	2	2	no	family(H2)
catering	6	6,10	yes	job(H6); occupation(H10)
cathedral	9	9	no	church(H9)
catholic church	9	9	no	church(H9)
causa	6	6	no	lawsuit(H6)
causalgia	6	6	no	pain(H6)
cause	6	6	no	lawsuit(H6)
cease-fire	4	4	no	peace(H4)
celebration	11	11	no	celebration(H11)
celebrity	10	10	no	honor(H10)
celibacy	10	10	no	status(H10)
cell death	8	8	no	death(H8)
celluloid	3	3,5	yes	media(H3); film(H5); cinema(H5)
center	4	4	no	property(H4)
central office	10	10	no	office(H10)
centre	4	4	no	property(H4)
cerebral death	8	8	no	death(H8)
ch'i	1	1	no	vitality(H1)
chain letter	3	3	no	letter(H3)
chalet	4	4	no	house(H4)
challenger	6	6	no	competitor(H6); rival(H6)
champ	6	6	no	competitor(H6); rival(H6)
champion	6	6	no	competitor(H6); rival(H6)
championship	9	9	no	blessing(H9)
chance	2	2,5,9	yes	fortune(H2); gambling(H5); luck(H9); fortune(H9)
chance event	8	8	no	accident(H8)
changeling	5	5	no	child(H5); kid(H5)
changeover	8	8	no	transformation(H8)
channel	3	3	no	communication(H3)
chapel	6	6	no	service(H6)
chapel service	6	6	no	service(H6)
chapterhouse	4	4	no	house(H4)
character	1	1,10	yes	character(H1); reputation(H10)
characteristic	4	4	no	property(H4)
charity	4	4,12	yes	foundation(H4); charity(H12)
charm	2	2	no	speech(H2)
charter	7	7	no	contract(H7)
charterhouse	12	12	no	monastery(H12)
chartism	9	9	no	ethics(H9)
chassis	1	1	no	body(H1)
chastity	9	9	no	morality(H9)
cheap-jack	7	7	no	seller(H7)
cheese	2	2	no	food(H2)
chef-d'oeuvre	6	6	no	work(H6)
chemical group	11	11	no	group(H11)
chemical property	4	4	no	property(H4)
cherub	5	5	no	baby(H5)
chest pain	6	6	no	pain(H6)
chi	1	1,3	yes	vitality(H1); letter(H3)
chicken wire	11	11	no	network(H11)
chicory	4	4	no	roots(H4)
chicory root	4	4	no	roots(H4)
chief	10	10	no	boss(H10)
child	5	5	no	child(H5); kid(H5); baby(H5)
child care	6	6	no	service(H6)
child prodigy	5	5	no	child(H5); kid(H5)
child's game	5	5	no	game(H5)
childbed	6	6,12	yes	labor(H6); confinement(H12)
childcare	6	6	no	service(H6)
childhood	4	4	no	childhood(H4)
chiralgia	6	6	no	pain(H6)
chirography	3	3	no	hand(H3)
chocolate	2	2	no	food(H2)
chokey	12	12	no	prison(H12)
choky	12	12	no	prison(H12)
chomp	2	2	no	eating(H2)
chore	6	6	no	job(H6); duty(H6)
chosen	6	6	no	pet(H6)
christ within	9	9	no	ethics(H9); morality(H9)
christendom	1	1	no	body(H1)
christian bible	9	9	no	scripture(H9)
christian church	9	9	no	religion(H9); church(H9); faith(H9)
christian religion	9	9	no	religion(H9); faith(H9)
christianity	1	1,9	yes	body(H1); religion(H9); faith(H9)
chromophore	11	11	no	group(H11)
chum	3	3,11	yes	brother(H3); friend(H11)
church	1	1,6,9	yes	body(H1); service(H6); religion(H9); church(H9); faith(H9)
church building	9	9	no	church(H9)
church doctrine	9	9	no	philosophy(H9)
church of scientology	9	9	no	religion(H9); faith(H9)
church property	4	4	no	property(H4)
church service	6	6,9	yes	service(H6); church(H9)
chyme	2	2	no	food(H2)
cine-film	5	5	no	film(H5)
cinema	3	3,5	yes	media(H3); film(H5); cinema(H5)
cinema verite	5	5	no	movie(H5); film(H5)
circassian	11	11	no	community(H11)
circuit	11	11	no	group(H11)
circumstance	10	10	no	status(H10)
circumstances	2	2,9	yes	possession(H2); luck(H9)
circus	5	5	no	show(H5)
citation	10	10	no	honor(H10)
citizenry	11	11	no	group(H11)
city university	9	9	no	university(H9)
civic duty	6	6	no	duty(H6)
civic responsibility	6	6	no	duty(H6)
civil authority	10	10	no	authority(H10)
civil marriage	7	7	no	marriage(H7); wedding(H7)
civil officer	10	10	no	authority(H10)
civil suit	6	6	no	lawsuit(H6)
clams	2	2	no	money(H2)
class	2	2,5	yes	family(H2); education(H5)
class action	6	6	no	lawsuit(H6)
class fellow	11	11	no	friend(H11)
class-action suit	6	6	no	lawsuit(H6)
classmate	11	11	no	friend(H11)
clay	1	1,4	yes	body(H1); soil(H4)
cleanup	2	2,11	yes	earnings(H2); profit(H11)
clear	11	11	no	profit(H11)
clenched fist	3	3	no	hand(H3)
clerk	6	6	no	employee(H6)
